id,uid,link,software_idstatus
databazainstatgoval,cdi00000010,http://databaza.instat.gov.al,pxweb,undetected
geoportalbforestgovbd,cdi00000127,https://geoportal.bforest.gov.bd,geonode,undetected
alephinvestigativedataorg,cdi00002378,https://aleph.investigativedata.org,aleph,undetected
oparazihtudresdende,cdi00000485,https://opara.zih.tu-dresden.de,dspace,undetected
opendataunikielde,cdi00000486,https://opendata.uni-kiel.de,mycore,undetected
bankstatgl,cdi00000498,https://bank.stat.gl/pxweb/en/,pxweb,undetected
geoportalambarutpleduec,cdi00000512,http://geoportal.ambar.utpl.edu.ec,geonode,undetected
doiplutofutee,cdi00002372,https://doi.plutof.ut.ee,dspace,undetected
geoloogiainfo,cdi00002374,https://geoloogia.info,dspace,undetected
eneustateus,cdi00000544,https://en.eustat.eus/banku/indexArbol.html,pxweb,undetected
pxweb2statfi,cdi00000624,https://pxweb2.stat.fi/PxWeb/pxweb/en/StatFin/,pxweb,undetected
pxwebnhwstatorg,cdi00000625,https://pxweb.nhwstat.org,pxweb,undetected
stathelfi,cdi00000627,https://stat.hel.fi/pxweb/en/Aluesarjat/,pxweb,undetected
stathelfi2,cdi00000628,https://stat.hel.fi/pxweb/en/Nordstat/,pxweb,undetected
dkanautoroutestraficfr,cdi00000699,https://dkan.autoroutes-trafic.fr,dkan,undetected
pureyorkacuk,cdi00002214,https://pure.york.ac.uk,elsevierpure,undetected
datanapgovgr,cdi00002476,http://data.nap.gov.gr,ckan,undetected
dataapdkritisgovgr,cdi00002478,https://data.apdkritis.gov.gr,dkan,undetected
webdzshr,cdi00000878,https://web.dzs.hr/PXWeb/Default.aspx?px_language=en&px_db=Stanovni%c5%a1tvo&rxid=9a4be997-6c13-401c-bbb4-fa5560389036,pxweb,undetected
pusdatarujatengprovgoid,cdi00000905,https://pusdataru.jatengprov.go.id/opdt,dkan,undetected
iransdinccgovir,cdi00000935,https://iransdi.ncc.gov.ir/geoserver,geoserver,undetected
pxhagstofais,cdi00000939,https://px.hagstofa.is/pxen/pxweb/en/?rxid=f0b9a91c-33e9-4f40-9738-d8548c0ed238,pxweb,undetected
jorinfodosgovjo,cdi00000979,http://jorinfo.dos.gov.jo/Databank/pxweb/en,pxweb,undetected
datacitykyotolgjp,cdi00000990,https://data.city.kyoto.lg.jp,dkan,undetected
weathergokr,cdi00001043,https://weather.go.kr/wgis-geos,geoserver,undetected
aisgzkkz,cdi00001074,https://aisgzk.kz/aisgzk/ru/content/maps/,arcgisserver,undetected
granderegionlu,cdi00001100,https://www.grande-region.lu/portal/donnees,pxweb,undetected
statgovlv,cdi00001104,https://stat.gov.lv,pxweb,undetected
statbankstatisticamd,cdi00001109,https://statbank.statistica.md,pxweb,undetected
pxwebmonstatorg,cdi00001111,https://pxweb.monstat.org,pxweb,undetected
nbstatnbrmmk,cdi00001114,https://nbstat.nbrm.mk/pxweb/en/,pxweb,undetected
pxwebinstatmalicom,cdi00001117,https://pxweb.instat-mali.com/PXWeb/pxweb/fr/BaseDeDonnees/,pxweb,undetected
pureudemedumx,cdi00002238,https://pure.udem.edu.mx/en/datasets/,elsevierpure,undetected
datosabiertoscholulagobmx,cdi00001137,https://datosabiertos.cholula.gob.mx,dkan,undetected
datauitmedumy,cdi00001151,https://202.58.84.53,dkan,undetected
opendatausmmy,cdi00001152,https://opendata.usm.my,dspace,undetected
geodatanzdfmilnz,cdi00001228,https://geodata.nzdf.mil.nz,koordinates,undetected
koordinatescloud,cdi00001232,https://koordinates.com/data/,koordinates,undetected
infosharestatsgovtnz,cdi00001239,https://infoshare.stats.govt.nz/,pxweb,undetected
americansamoadataspreporg,cdi00001247,https://americansamoa-data.sprep.org,dkan,undetected
geoservergeoportalgovph,cdi00001276,https://geoserver.geoportal.gov.ph,geoserver,undetected
openstatpsagovph,cdi00001278,https://openstat.psa.gov.ph/database,pxweb,undetected
dadosrcaappt,cdi00001326,https://dados.rcaap.pt,dspace,undetected
geohidroinformaticaitaipugovpy,cdi00001331,https://geohidroinformatica.itaipu.gov.py,geonode,undetected
gissgmru,cdi00001350,https://gis.sgm.ru/server/rest/services,arcgisserver,undetected
mnpeconomygovru,cdi00001352,https://mnp.economy.gov.ru/geoserver,geoserver,undetected
geoportalgov39ru,cdi00001386,https://geoportal.gov39.ru/geoserver,geoserver,undetected
transportmosru,cdi00001401,https://transport.mos.ru/geoserver,geoserver,undetected
gisogdnoru,cdi00001411,https://gisogdno.ru/,arcgisserver,undetected
opendatayarcloudru,cdi00001454,https://opendata.yarcloud.ru/,dkan,undetected
geonoderbisuracrw,cdi00002415,http://geonode.rbis.ur.ac.rw,geonode,undetected
pxwebstatsi,cdi00001492,https://pxweb.stat.si,pxweb,undetected
geoportalsnetgobsv,cdi00001505,https://geoportal.snet.gob.sv/server/rest/services,arcgisserver,undetected
statdbdgbasgovtw,cdi00001579,https://statdb.dgbas.gov.tw/pxweb/dialog/statfile1L.asp,pxweb,undetected
datanasagov,cdi00001627,https://data.nasa.gov,socrata,undetected
dataojpusdojgov,cdi00001630,https://data.ojp.usdoj.gov,socrata,undetected
repositorysiedu,cdi00001711,https://repository.si.edu,dspace,undetected
wwwgiscloudvn,cdi00001951,https://www.giscloud.vn,geonode,undetected
opendatahcmgisvn,cdi00001948,https://opendata.hcmgis.vn,geonode,undetected
portalhcmgisvn,cdi00001949,http://portal.hcmgis.vn,geonode,undetected
